Germany;Mosel;;;;Trier;Piesport;Bernkastel;Wehlen;;;;;;;
Germany;Nahe;;;;Schlossbockelheim;;;;;;;;;;
Germany;Rhienhessen;;;;Mainz;Nierstein;;;;;;;;;
Germany;Pfalz;;;;Fortz;Deidesheim;;;;;;;;;
Germany;Baden;;;;;;;;;;;;;;
Germany;Rhengau;;;;Rudeshelm;Johannisberg;;;;;;;;;
Italy;Northen;East;Alto Adige;;;;;;;;;;Pinot Grigio;;
Italy;Northen;East;Trentino;;;;;;;;;;Pinot Grigio;;
Italy;Northen;East;Soave;;;;;;;;;;Garganega;;
Italy;Northen;East;Soave Classico;;;;;;;;;;Garganega;;
Italy;Northen;East;Valpolicella;;;;;;;Corvina;;;;;
Italy;Northen;East;Valpolicella Classico;;;;;;;Corvina;;;;;
Italy;Northen;East;Fruili Grave;;;;;;;;;;Pinot Grigio;;
Italy;Northen;West;Piemonte;Barolo;;;;;;Niebiolo;;;;;
Italy;Northen;West;Piemonte;Barbaresco;;;;;;Niebiolo;;;;;
